stock_code,country,revenue,quantity,transactions
72741,United Kingdom,26227.28,18953,894
84978,United Kingdom,26157.41,19562,1400
21930,United Kingdom,26105.3,12650,1332
20679,United Kingdom,25830.97,5426,634
23201,United Kingdom,25441.91,12097,858
47590B,United Kingdom,25438.98,4957,803
22752,United Kingdom,25429.75,3095,671
48111,United Kingdom,25396.92,4144,716
22158,United Kingdom,25161.48,7417,761
22084,United Kingdom,25081.68,8733,832
POST,France,25030.0,1339,477
71459,United Kingdom,24958.47,30589,983
21314,United Kingdom,24919.35,11482,1080
85014B,United Kingdom,24856.63,5068,793
20711,United Kingdom,24825.78,12125,1019
82600,United Kingdom,24805.62,12202,1202
47566B,United Kingdom,24791.2,5578,754
21108,United Kingdom,24753.89,12499,594
22149,United Kingdom,24702.96,11859,1399
22087,United Kingdom,24161.02,8035,849
21217,United Kingdom,24089.63,2269,857
M,EIRE,23859.78,28,28
22734,United Kingdom,23855.55,8587,715
22507,United Kingdom,23781.56,5074,833
84755,United Kingdom,23636.6,37634,1254
21955,United Kingdom,23618.67,3889,739
20972,United Kingdom,23452.03,19268,1410
84997B,United Kingdom,23389.38,6220,889
21977,United Kingdom,23343.73,46471,1880
21527,United Kingdom,23287.27,3129,796
37503,United Kingdom,23105.58,2240,483
22624,United Kingdom,23072.52,2628,1102
22171,United Kingdom,23022.56,3054,642
21231,United Kingdom,23019.1,18444,1492
84077,United Kingdom,23007.93,101353,964
21258,United Kingdom,22856.84,1579,539
23245,United Kingdom,22632.25,4447,734
48173C,United Kingdom,22596.74,3997,498
22607,United Kingdom,22394.45,2474,735
23344,United Kingdom,22135.83,9437,688
21790,United Kingdom,21808.21,24983,1874
22499,United Kingdom,21654.79,3554,777
22698,United Kingdom,21646.17,7190,979
84997D,United Kingdom,21643.32,5656,944
22113,United Kingdom,21627.83,5652,1047
22961,United Kingdom,21588.34,13351,1115
22605,United Kingdom,21432.12,1663,600
22456,United Kingdom,21292.68,4340,830
84991,United Kingdom,21237.57,41717,2059
21080,United Kingdom,21151.06,25640,1960
22941,United Kingdom,20902.82,2499,486
47590A,United Kingdom,20893.98,4104,616
20719,United Kingdom,20842.92,15361,1297
21791,United Kingdom,20783.78,15908,1256
84836,United Kingdom,20777.94,16602,1430
21481,United Kingdom,20746.24,6447,987
23173,United Kingdom,20739.48,2287,364
37449,United Kingdom,20489.86,2171,444
22570,United Kingdom,20389.78,5470,829
22632,United Kingdom,20311.27,10134,874
22722,United Kingdom,20235.21,4787,794
23202,United Kingdom,20118.49,10113,825
23243,United Kingdom,20071.07,4059,399
22728,United Kingdom,19924.27,5026,872
85048,United Kingdom,19888.3,2487,519
48116,United Kingdom,19880.7,3325,479
22569,United Kingdom,19827.02,5429,815
22467,United Kingdom,19782.1,8078,988
84970S,United Kingdom,19699.31,23377,1391
85150,United Kingdom,19588.23,8087,1114
21174,United Kingdom,19447.02,9603,1163
22585,United Kingdom,19443.77,15346,1092
21622,United Kingdom,19422.14,3595,624
22568,United Kingdom,19392.22,5224,883
71053,United Kingdom,19233.39,4859,771
22633,United Kingdom,19230.13,9348,1016
84949,United Kingdom,19180.11,12039,712
22041,United Kingdom,19106.26,7757,561
84947,United Kingdom,19035.54,16049,725
21213,United Kingdom,19012.44,35150,1425
22693,United Kingdom,18865.88,16483,319
22900,United Kingdom,18785.86,5794,761
22424,United Kingdom,18665.36,1332,710
84406B,United Kingdom,18640.9,5728,846
20749,United Kingdom,18588.21,2594,650
22969,United Kingdom,18556.85,12207,688
85014A,United Kingdom,18439.05,4009,615
22381,United Kingdom,18373.77,8639,1061
20723,United Kingdom,18320.77,15414,1315
22169,United Kingdom,18251.2,2119,659
22427,United Kingdom,18030.01,2989,772
21340,United Kingdom,17977.36,1643,398
22294,United Kingdom,17808.25,14006,907
84997C,United Kingdom,17784.3,4700,819
84945,United Kingdom,17734.96,21594,649
22629,United Kingdom,17676.1,9105,1114
21484,United Kingdom,17653.7,4398,871
22492,United Kingdom,17627.49,27123,561
22625,United Kingdom,17617.33,1938,846
22061,United Kingdom,17496.97,1999,483
23209,United Kingdom,17453.17,10609,1015
22413,United Kingdom,17197.34,6082,828
22356,United Kingdom,17175.59,14936,1450
22952,United Kingdom,17141.68,28221,1168
84467,United Kingdom,17088.36,794,79
23206,United Kingdom,17039.98,9703,949
22273,United Kingdom,17004.22,6168,773
22147,United Kingdom,16978.35,12087,1197
35004C,United Kingdom,16918.23,3260,364
21936,United Kingdom,16713.69,5591,922
22837,United Kingdom,16554.72,3519,497
21430,United Kingdom,16415.82,4163,749
79323W,United Kingdom,16398.12,2704,341
22776,United Kingdom,16338.28,1570,661
21136,United Kingdom,16216.18,9701,731
22617,United Kingdom,16207.19,3303,835
23301,United Kingdom,16020.45,8621,911
22297,United Kingdom,15928.95,12054,1005
22423,EIRE,15927.45,1387,147
22561,United Kingdom,15873.54,9279,835
22328,United Kingdom,15807.21,5341,875
47591D,United Kingdom,15663.37,8430,1079
21535,United Kingdom,15392.2,6184,1083
21155,United Kingdom,15307.21,6213,943
23313,United Kingdom,15299.11,2881,399
22560,United Kingdom,15181.23,12436,720
22558,United Kingdom,15171.59,10593,1124
22366,United Kingdom,15077.96,2228,522
22487,United Kingdom,15042.7,1479,842
21908,United Kingdom,15015.21,7496,959
20750,United Kingdom,15000.22,2006,637
22170,United Kingdom,14999.21,2283,560
72760B,United Kingdom,14949.86,1543,467
82582,United Kingdom,14930.47,7384,812
48129,United Kingdom,14918.19,2411,498
17003,United Kingdom,14841.59,70990,464
22630,United Kingdom,14841.5,7229,1150
M,Norway,14756.64,5,5
21889,United Kingdom,14644.79,10794,1102
84970L,United Kingdom,14622.15,14245,1059
21533,United Kingdom,14589.27,2927,927
22173,United Kingdom,14568.0,4728,997
M,France,14513.07,9,8
22690,United Kingdom,14467.5,2341,400
21035,United Kingdom,14448.97,4475,887
22191,United Kingdom,14424.25,1743,589
22654,United Kingdom,14394.72,1986,565
22993,United Kingdom,14387.43,10812,1029
22652,United Kingdom,14210.28,8263,778
84050,United Kingdom,14204.32,9673,693
21891,United Kingdom,14090.36,11017,827
21216,United Kingdom,13992.58,2477,740
21877,United Kingdom,13935.31,12272,729
22692,United Kingdom,13930.78,1853,543
84992,United Kingdom,13853.91,27491,1437
21914,United Kingdom,13842.4,9717,866
20718,United Kingdom,13828.25,10010,1128
22365,United Kingdom,13822.71,2123,407
20748,United Kingdom,13758.03,1555,181
22150,United Kingdom,13654.3,7303,948
21218,United Kingdom,13646.31,3104,800
22730,United Kingdom,13627.54,3350,726
22193,United Kingdom,13625.78,1594,584
22423,Germany,13599.9,1218,95
21210,United Kingdom,13583.26,9209,990
21259,United Kingdom,13576.98,2235,643
21098,United Kingdom,13547.82,8484,649
21156,United Kingdom,13498.26,7233,807
22759,United Kingdom,13466.89,7788,769
35400,United Kingdom,13462.1,1375,412
22847,United Kingdom,13459.69,839,393
22207,United Kingdom,13422.66,3116,481
21165,United Kingdom,13349.88,8138,965
22296,United Kingdom,13347.06,7906,859
35970,United Kingdom,13338.58,7235,682
22804,United Kingdom,13327.23,4982,680
22326,Netherlands,13315.1,5210,45
22109,United Kingdom,13310.28,3179,658
22619,United Kingdom,13307.57,3341,674
22551,United Kingdom,13284.65,7290,1074
47556B,United Kingdom,13257.37,5054,433
22485,United Kingdom,13250.89,984,386
22909,United Kingdom,13237.02,14315,1107
22749,United Kingdom,13227.98,3136,692
21844,United Kingdom,13204.57,4605,443
75049L,United Kingdom,13186.31,13993,357
23343,United Kingdom,13175.83,5667,470
22326,United Kingdom,13079.83,3871,921
84997A,United Kingdom,13068.3,3468,519
22606,United Kingdom,13058.44,931,353
22179,United Kingdom,12905.8,1764,552
84378,United Kingdom,12857.45,9600,1194
15044A,United Kingdom,12725.75,4786,237
21770,United Kingdom,12711.2,2537,578
23356,United Kingdom,12709.97,2246,479
22464,United Kingdom,12692.15,7639,801
21704,United Kingdom,12643.8,16476,545
22655,United Kingdom,12640.0,73,51
22946,United Kingdom,12614.82,784,260
22940,United Kingdom,12593.04,2780,593
23200,United Kingdom,12514.2,6220,555
22444,United Kingdom,12506.56,8906,440
21912,United Kingdom,12477.5,3115,786
84375,United Kingdom,12473.52,5887,748
22557,United Kingdom,12421.96,7142,1059
62018,United Kingdom,12407.95,9545,125
21871,United Kingdom,12345.45,10372,767
79323P,United Kingdom,12290.93,2013,255
22616,United Kingdom,12249.4,38529,846
22295,United Kingdom,12248.8,7263,746
22621,United Kingdom,12185.71,7665,856
M,Singapore,12158.9,7,7
22144,United Kingdom,12105.29,4924,735
22791,United Kingdom,12061.71,9726,452
22943,United Kingdom,12039.22,2437,368
22766,United Kingdom,12002.99,4053,639
21975,United Kingdom,11987.8,24326,1248
22834,United Kingdom,11962.65,7110,660
85042,United Kingdom,11957.36,2629,286
21669,United Kingdom,11950.78,8956,780
22646,United Kingdom,11906.02,8358,867
20969,United Kingdom,11867.38,3170,621
22367,United Kingdom,11853.26,5826,1036
21326,United Kingdom,11822.33,18125,672
21257,United Kingdom,11788.63,1218,517
21935,United Kingdom,11774.11,6191,896
23328,United Kingdom,11711.59,2391,393
22947,United Kingdom,11703.05,890,196
22088,United Kingdom,11649.44,3887,593
21164,United Kingdom,11639.45,4101,670
21094,United Kingdom,11627.39,14753,823
23300,United Kingdom,11617.69,6707,765
22988,United Kingdom,11543.72,9580,483
23077,United Kingdom,11405.77,8395,308
22694,United Kingdom,11399.7,5052,920
21906,United Kingdom,11380.4,1548,394
22555,United Kingdom,11348.67,6855,809
21673,United Kingdom,11323.41,8367,719
84380,United Kingdom,11307.1,7984,1049
22301,United Kingdom,11269.26,4648,620
23207,United Kingdom,11266.5,6473,714
22488,United Kingdom,11264.47,6564,802
22508,United Kingdom,11214.04,2780,696
22556,United Kingdom,11164.53,6565,911
21868,United Kingdom,11143.72,9043,900
21735,United Kingdom,11120.65,857,254
22333,United Kingdom,11082.17,7068,567
21559,United Kingdom,11080.92,4141,1027
21172,United Kingdom,11065.92,7465,986
B,United Kingdom,11062.06,1,1
72351B,United Kingdom,11061.04,5721,511
22844,United Kingdom,11025.42,1156,484
21390,United Kingdom,11008.51,8595,592
21668,United Kingdom,10988.32,7835,765
22662,United Kingdom,10951.41,6451,926
85123A,Netherlands,10932.5,4270,28
22580,United Kingdom,10910.02,1932,453
23581,United Kingdom,10847.35,4639,332
22635,United Kingdom,10845.84,1112,402
21539,United Kingdom,10839.79,2120,669
22630,Netherlands,10797.9,6522,41
21922,United Kingdom,10789.02,1388,376
22768,United Kingdom,10767.66,1125,350
22584,United Kingdom,10766.94,4164,557
84212,United Kingdom,10754.04,22257,259
22729,United Kingdom,10742.63,2690,585
21672,United Kingdom,10732.17,7938,728
22151,United Kingdom,10703.77,25271,717
22629,Netherlands,10696.2,6460,47
22634,United Kingdom,10685.1,1105,408
22236,United Kingdom,10659.67,844,362
21624,United Kingdom,10653.05,1773,409
22174,United Kingdom,10645.16,5207,582
21888,United Kingdom,10606.06,2611,769
22627,United Kingdom,10587.78,1175,552
21428,United Kingdom,10582.68,2594,425
21670,United Kingdom,10559.53,7556,738
82001S,United Kingdom,10531.76,2923,233
15056P,United Kingdom,10510.52,2185,300
22271,United Kingdom,10443.05,3574,752
22130,United Kingdom,10417.56,8874,428
22198,United Kingdom,10414.73,5759,621
20828,United Kingdom,10397.21,4207,607
22505,United Kingdom,10358.93,2037,630
23240,United Kingdom,10338.52,2470,431
37370,United Kingdom,10325.55,6411,530
20676,United Kingdom,10273.25,8073,838
22645,United Kingdom,10267.39,5648,765
22082,United Kingdom,10241.57,5939,972
21121,United Kingdom,10229.03,8240,737
22623,United Kingdom,10177.43,1836,501
21907,United Kingdom,10175.33,4833,764
21982,United Kingdom,10152.45,31337,724
47567B,United Kingdom,10130.24,1882,330
47599A,United Kingdom,10116.88,5379,344
20975,United Kingdom,10106.83,15362,916
84988,United Kingdom,10078.3,6271,946
POST,United Kingdom,10074.68,175,80
21671,United Kingdom,10069.58,7554,670
22349,United Kingdom,10060.54,2439,352
22771,United Kingdom,10049.69,7400,513
21380,United Kingdom,10042.03,3344,617
22468,United Kingdom,10038.08,1492,392
C2,EIRE,10005.0,202,202
22667,United Kingdom,9946.55,3481,794
21169,United Kingdom,9870.48,5843,781
M,Hong Kong,9844.07,5,5
21033,United Kingdom,9827.46,4380,580
23582,United Kingdom,9802.89,4608,247
23174,United Kingdom,9796.18,2416,259
22740,United Kingdom,9793.89,11420,273
21498,United Kingdom,9787.42,24201,720
22812,United Kingdom,9785.68,4297,483
21488,United Kingdom,9768.83,2311,363
20829,United Kingdom,9764.14,4789,495
21154,United Kingdom,9721.47,6379,862
21890,United Kingdom,9712.5,3233,547
16014,United Kingdom,9704.58,30049,84
84880,United Kingdom,9624.71,1690,361
79000,United Kingdom,9623.92,11838,427
23108,United Kingdom,9622.36,1571,291
22970,United Kingdom,9606.9,4112,303
23084,Netherlands,9568.48,4801,7
21749,United Kingdom,9557.82,4901,262
22846,United Kingdom,9546.92,584,275
22192,United Kingdom,9544.56,1100,500
21756,United Kingdom,9538.41,1536,590
22750,United Kingdom,9536.31,2505,633
21833,United Kingdom,9520.18,5524,426
23208,United Kingdom,9485.11,5716,642
22554,United Kingdom,9483.46,5032,988
22300,United Kingdom,9474.8,3935,524
22352,United Kingdom,9468.97,3493,902
22120,United Kingdom,9463.92,928,354
22663,United Kingdom,9438.92,4613,654
22636,United Kingdom,9411.43,1120,390
22795,United Kingdom,9407.46,1290,491
22303,United Kingdom,9373.73,4045,425
21781,United Kingdom,9368.57,602,357
84792,United Kingdom,9367.84,2116,510
21892,United Kingdom,9353.93,7137,821
21260,United Kingdom,9346.93,2778,527
22649,United Kingdom,9339.82,1835,466
22553,United Kingdom,9311.86,5400,1062
22637,United Kingdom,9309.38,3494,547
21937,United Kingdom,9308.56,3062,624
22064,United Kingdom,9297.56,5759,688
21122,United Kingdom,9261.85,7480,717
21787,United Kingdom,9113.36,11228,428
22668,United Kingdom,9068.81,2927,521
22302,United Kingdom,9057.85,4338,340
22767,United Kingdom,9050.86,960,285
21745,United Kingdom,8997.35,2641,486
21731,Netherlands,8973.3,6154,36
84032A,United Kingdom,8970.02,3267,680
22089,United Kingdom,8953.86,3015,530
22121,United Kingdom,8953.43,1435,458
POST,Spain,8927.0,306,97
22219,United Kingdom,8922.8,9296,1173
20970,United Kingdom,8861.45,2330,577
21974,United Kingdom,8838.85,5746,741
20747,United Kingdom,8816.02,653,104
22357,United Kingdom,8796.57,1935,451
22725,United Kingdom,8792.45,2090,516
84987,United Kingdom,8761.0,5912,731
21531,United Kingdom,8760.82,3487,727
22180,United Kingdom,8736.56,833,361
23170,United Kingdom,8685.55,5279,382
22665,United Kingdom,8683.68,2619,677
22380,United Kingdom,8681.82,4179,649
22942,United Kingdom,8630.08,1103,251
22141,United Kingdom,8611.81,3475,602
21429,United Kingdom,8592.03,4642,935
84030E,United Kingdom,8589.76,1997,496
23171,United Kingdom,8584.09,5305,338
22110,United Kingdom,8556.17,2462,519
84692,United Kingdom,8535.5,17098,1111
23322,United Kingdom,8528.41,2945,573
82552,United Kingdom,8523.23,6020,801
21041,United Kingdom,8513.39,2448,538
23439,United Kingdom,8512.01,3811,414
22595,United Kingdom,8499.44,9734,776
21985,United Kingdom,8494.49,23761,932
22656,United Kingdom,8450.0,41,34
22274,United Kingdom,8418.25,2875,643
47570B,United Kingdom,8409.67,849,205
22748,United Kingdom,8361.79,3226,715
84839,United Kingdom,8324.05,1455,382
21769,United Kingdom,8322.67,131,47
22348,United Kingdom,8290.95,9700,897
21186,United Kingdom,8280.77,5108,372
22371,United Kingdom,8253.96,1670,682
22418,United Kingdom,8248.98,9564,537
23321,United Kingdom,8230.72,4590,637
23080,United Kingdom,8221.37,961,238
22968,United Kingdom,8207.41,771,283
20974,United Kingdom,8170.49,12396,859
48189,United Kingdom,8158.77,1275,264
22966,United Kingdom,8150.54,6491,699
21658,United Kingdom,8135.18,1900,509
22429,United Kingdom,8115.64,1826,624
84508A,United Kingdom,8091.48,3809,110
22904,United Kingdom,8088.24,2468,449
85064,United Kingdom,8087.21,1745,281
72807C,United Kingdom,8051.11,1869,340
21934,United Kingdom,8036.87,4414,728
22072,United Kingdom,8006.16,2032,510
23319,United Kingdom,7991.24,3203,377
82551,United Kingdom,7983.95,5556,759
84032B,United Kingdom,7947.84,3335,614
22195,United Kingdom,7929.85,4344,795
22326,Germany,7920.4,2776,213
22620,United Kingdom,7914.8,5678,753
21135,United Kingdom,7906.45,5594,386
22745,United Kingdom,7885.56,3012,683
85232B,United Kingdom,7875.43,1507,462
21242,United Kingdom,7873.88,4568,524
21411,United Kingdom,7869.04,1962,617
22838,United Kingdom,7853.81,507,255
23318,United Kingdom,7841.03,3223,355
23175,United Kingdom,7827.9,2567,274
22212,United Kingdom,7827.68,3618,816
22165,United Kingdom,7818.72,989,281
22358,United Kingdom,7787.55,2425,610
21042,United Kingdom,7772.08,1313,370
20914,EIRE,7763.2,2944,57
20754,United Kingdom,7758.63,3605,792
21385,United Kingdom,7758.27,8586,712
21875,United Kingdom,7757.25,6692,424
85067,United Kingdom,7745.29,470,170
22689,United Kingdom,7733.74,1006,249
22741,United Kingdom,7728.89,8933,266
22978,United Kingdom,7725.02,1948,204
21980,United Kingdom,7705.81,28092,613
20677,United Kingdom,7651.69,5951,673
22328,Japan,7633.05,2991,7
22950,United Kingdom,7627.64,5417,321
22055,United Kingdom,7598.35,4553,723
21086,United Kingdom,7584.03,11443,687
23076,United Kingdom,7566.96,6060,231
22798,United Kingdom,7563.41,2427,373
22328,Netherlands,7560.8,2960,33
22350,United Kingdom,7556.76,2705,323
22840,United Kingdom,7554.0,974,365
21116,United Kingdom,7546.12,1272,526
85099B,Netherlands,7545.0,4460,29
22992,United Kingdom,7542.44,3648,307
22784,United Kingdom,7540.52,1505,375
22283,United Kingdom,7540.1,899,352
21463,United Kingdom,7522.36,1358,305
22738,United Kingdom,7519.74,4084,506
85049A,United Kingdom,7489.76,5617,684
23082,United Kingdom,7477.08,2016,290
22528,United Kingdom,7410.89,5645,551
22809,United Kingdom,7405.15,2477,384
22327,United Kingdom,7402.79,2105,627
22549,United Kingdom,7388.96,4802,653
23535,United Kingdom,7382.04,1128,213
23493,United Kingdom,7365.03,3383,389
21716,United Kingdom,7359.29,2819,455
23534,United Kingdom,7349.65,1156,248
21876,United Kingdom,7348.19,5632,642
22839,United Kingdom,7325.99,441,261
22465,United Kingdom,7324.55,4517,482
23078,United Kingdom,7318.74,5803,231
85174,United Kingdom,7279.49,1476,380
23084,France,7277.2,4024,74
72351A,United Kingdom,7240.59,3666,406
22360,United Kingdom,7232.55,2374,435
21361,United Kingdom,7221.47,543,291
22466,United Kingdom,7215.07,3833,342
22224,United Kingdom,7200.55,2256,398
51008,United Kingdom,7157.4,2192,73
84568,United Kingdom,7155.3,34253,301
22588,United Kingdom,7152.01,2529,489
85065,United Kingdom,7134.19,585,248
22073,United Kingdom,7120.49,1752,447
22796,United Kingdom,7104.04,707,294
85049E,United Kingdom,7069.87,5158,815
21558,United Kingdom,7036.47,2522,713
79323LP,United Kingdom,6997.69,1167,160
11001,United Kingdom,6969.17,4565,246
21625,United Kingdom,6956.87,967,343
21777,United Kingdom,6930.81,820,358
POST,Belgium,6922.0,422,144
23543,United Kingdom,6883.56,1220,100
21588,United Kingdom,6878.55,2959,290
22423,Netherlands,6871.05,627,19
35004B,United Kingdom,6870.9,1487,278
22827,United Kingdom,6860.0,44,34
21870,United Kingdom,6859.76,5345,642
23215,United Kingdom,6844.96,3471,211
22187,United Kingdom,6837.2,2080,373
21874,United Kingdom,6785.22,5031,607
21114,United Kingdom,6784.66,5241,484
22243,Netherlands,6782.25,4669,26
22890,United Kingdom,6778.07,679,252
82580,United Kingdom,6760.31,11949,1350
21110,United Kingdom,6756.38,1453,313
22577,United Kingdom,6752.9,13121,830
21124,United Kingdom,6744.87,5423,535
POST,Switzerland,6741.0,152,55
22810,United Kingdom,6739.58,2186,355
22669,United Kingdom,6722.62,2054,409
22275,United Kingdom,6696.38,801,285
23103,United Kingdom,6691.06,3978,375
21768,United Kingdom,6684.84,494,157
21497,United Kingdom,6684.0,16800,461
85175,United Kingdom,6680.7,15618,440
21107,United Kingdom,6655.8,2311,324
21932,United Kingdom,6644.22,3056,619
ADJUST,United Kingdom,6611.39,12,12
21992,United Kingdom,6590.17,3197,670
22414,United Kingdom,6587.9,1098,210
22575,United Kingdom,6572.25,3043,345
21115,United Kingdom,6563.13,1010,412
23283,United Kingdom,6561.33,935,217
21715,United Kingdom,6557.05,2503,434
22493,United Kingdom,6544.89,4034,412
22354,United Kingdom,6543.92,1692,251
22644,United Kingdom,6532.7,4519,602
22781,United Kingdom,6520.52,792,293
22079,United Kingdom,6519.04,3760,651
85047,United Kingdom,6518.28,1028,236
22833,United Kingdom,6517.22,192,14
22417,United Kingdom,6498.09,11737,985
22282,United Kingdom,6469.75,487,198
85220,Denmark,6467.6,11960,2
23553,United Kingdom,6457.15,569,69
21984,United Kingdom,6451.25,23265,420
23134,United Kingdom,6414.61,1063,37
23541,United Kingdom,6400.31,816,148
23109,United Kingdom,6375.51,2227,262
85014D,United Kingdom,6361.0,1867,79
22845,United Kingdom,6351.95,929,370
21843,EIRE,6337.95,581,53
21494,United Kingdom,6318.73,3663,512
85068,United Kingdom,6317.39,917,183
20979,United Kingdom,6314.9,4757,610
21933,United Kingdom,6305.0,2911,597
22830,United Kingdom,6297.1,308,21
22526,United Kingdom,6252.26,507,196
22779,United Kingdom,6231.14,1658,181
23188,United Kingdom,6223.37,3335,327
20717,United Kingdom,6222.23,4895,737
21243,United Kingdom,6206.32,3690,413
22780,United Kingdom,6202.38,1654,173
22460,United Kingdom,6192.7,4690,374
22739,United Kingdom,6172.11,3188,600
22945,United Kingdom,6161.77,5823,335
22220,United Kingdom,6156.29,664,245
84997D,Spain,6154.47,1737,9
22783,United Kingdom,6153.1,466,43
16156S,United Kingdom,6144.12,15636,389
37450,United Kingdom,6143.39,2131,372
84884A,United Kingdom,6134.87,1677,308
22185,United Kingdom,6130.13,3842,468
22906,United Kingdom,6129.99,3302,491
22596,United Kingdom,6121.97,5900,431
23083,United Kingdom,6120.05,1601,236
20675,United Kingdom,6119.85,4829,600
21981,United Kingdom,6115.36,22648,505
23084,Japan,6100.32,3408,4
22550,United Kingdom,6095.96,1627,374
23320,United Kingdom,6083.44,2292,317
22855,United Kingdom,6082.29,4852,446
22498,United Kingdom,6078.14,967,381
23382,United Kingdom,6073.35,1502,194
22059,United Kingdom,6067.11,4484,476
22167,United Kingdom,6064.76,688,307
47599B,United Kingdom,6062.84,3165,265
21714,United Kingdom,6037.41,4165,525
22065,United Kingdom,6025.44,8194,482
23571,United Kingdom,6020.81,2607,248
21586,United Kingdom,6008.55,2579,255
22311,United Kingdom,6006.0,1840,295
22813,United Kingdom,5997.93,3029,361
22215,United Kingdom,5981.43,730,288
79067,United Kingdom,5973.83,1486,398
15060B,United Kingdom,5973.58,1282,429
