catalog_id,brand,title,description,price,currency,cluster_id
6214990,,"RAM 6\"" Double Socket Arm for 1\"" Ball Bases","The RAM-B-201U-C RAM 6\"" Double Socket Arm for 1\"" Ball Bases from the RAM Mount Arms range is professionally powder coated with marine grade aluminum. It is built with a socket at either end, allowing for ball bases approximately 1”. The ball and socket connection can easily be pivoted with a sprin",$17.40 (AUD),AUD,1366684
48868171,,ZEBRA 800033-801 BLACK RIBBON (1000 PRINTS),The Zebra 800015-101 black ribbon utilises thermal printer ribbon technology to guarantee outstanding print results. The monochrome resin is perfect for printing detailed text and accurate barcodes. It also comes complete with an adhesive cleaning roller to ensure all cards are of the highest printe,9.5,GBP,163499
47446012,,"Elixir 16052 Acoustic Strings Phosphor Bronze Nanoweb Coating, 6-String, Light","Elixir® Strings Acoustic Phosphor Bronze with NANOWEB® Coating deliver distinctive phosphor bronze warmth and sparkle together with extended tone life.#1 acoustic guitar string*Only coated string brand to protect the entire string with an ultra-thin coating, keeping gunk out of the gaps between the ",14.99,USD,580455
25758185,OMEGA,Omega Seamaster Planet Ocean Chrono for Men,Omega Seamaster Planet Ocean Chrono for Men - this product is manufactured by OMEGA in Switzerland (and maybe in other countries),,,5409130
23158552,,Asus Nvidia RTX 2060 SUPER Turbo EVO OC 8Gb GDDR6,ASUS Turbo GeForce® RTX 2060 SUPER™ EVO 8GB GDDR6 with a blower-style design for AAA gaming performance and ray tracing,439,EUR,320546
25175603,XEROX,Xerox 106R01162 25k Yellow Toner,FeaturesPage yield25000 pagesBrand compatibilityXeroxCompatible productsPhaser 7760Colour of productBlackQuantity1Printing coloursYellowTypeTonerPackaging dataPackaging width95 mmPackaging height89 mmPackage weight680 gPackaging length368 mmPackaging typeBox,216.44,GBP,219682
8401004,TP-Link,TP-LINK T1700G-28TQ Managed L2+ Gigabit Ethernet (10/100/1000) Zwart,"24x RJ-45, 10/100/1000Mbps, 4x 10G SFP+ Slots, 128Gbps Capacity, 2.8kg",237.70,EUR,3403774
9646081,Manfrotto,Manfrotto MVH 500 AH Video hoved,Manfrotto Videohoved MVH500AH Flatbase,1095,DKK,72631
4402971,BenQ,"BenQ GW2480 - LED-monitor - 23.8\"" - 1920 x 1080 Full HD - IPS","BenQ GW2480 - LED-monitor - 23.8\"" - 1920 x 1080 Full HD - IPS - 250 cd/m2 - 1000:1 - 5 ms - HDMI, VGA, DisplayPort - luidsprekers - zwart","€134,00",EUR,1044678
23699673,,SanDisk 256GB SDXC Ultra Class10 100MB/s UHS-I,,229,PLN,1054843
68444336,,0000011980| Fujifilm 23mm F1.4 Lens For X Series,0000011980| Fujifilm 23mm F1.4 Lens For X Series,"1,198.00",AUD,2283152
30120490,,Pendrive Sandisk PEN Drive SDCZ60-032G-B35,Cruzer Glide 32GB,5.95,EUR,1805681
96411432,Cooler Master,Coolermaster N300 Mid Tower Case with 2x 120mm SickleFlow Quiet Fans,Cooler Master N300 Black Mid Tower Case with 2x 120mm SickleFlow Quiet Fans,41.99,GBP,2074244
69151064,,TP-Link TL-WN781ND PCI Express Wireless Adapter,TP-Link TL-WN781ND PCI Express Wireless AdapterTP-Link TL-WN781ND PCI Express Wireless Adapter Wireless-N provides fast wireless speeds of up to 150 Mbps PCI express connector is widely compatible QSS function to ensure wireless network security 150Mbps Wireless N PCI Express Adapter - TL-WN781ND,2200.00,KES,466493
5680655,Omega,"Omega Seamaster Planet Ocean 600 M Co-Axial Master Chronometer GMT 45,5mm ETNZ Deep Black",,7422.413793,EUR,1659308
2244475,D-link,Switch DGS-1210-24P 24 porturi,"D-Link, Smart Switch 24 porturi 10/100/1000 Gigabit PoE, 4 SFP, Smart, Switching capacity 56Gbps, budget 85W","1,409.99 Lei;",,964764
26060342,,SPD SL Cleats - Pair - Fixed Cleat / Black & Red,Repacement cleats for all Shimano SPD-SL pedals.Supplied with fixing bolts.SM-SH10 - Red & Black - Fixed Cleat.SM-SH11 - Yellow & Black - Self Aligning.SM-SH12 - Blue & Black - Front Pivot Centre.,15.99,GBP,431550
94788371,,Instax Mini Rainbow Film 10 Pack,Brighten the place up with this pack of rainbow coloured film! Top tip: one of these would look fab in our Instax Mini Acrylic Photo Block!Includes pack of 10 shots,14.99,GBP,1374090
81530115,,WD SSD 2TB BLUE M2 2280 WDS200T2B0B,"SSD WD, Blue, 2TB, M2 2280, SATA3, 6 GB/s, R/W speed: up to 560MBs/530MBs",1104.7008,RON,761924
59929353,,JABRA EVOLVE 65 UC MONO c/w LINK 360,7% GST excluded.,255.68,SGD,1409979
11113121,,RAM® Double Socket Arm C Size,"C Size 1.5"" Rubber BallCapacity: up to 1.8 kgPowder Coated Marine Grade Aluminum",43,EUR,1764013
6988926,ASUS,"ASUS Placa video DUAL RTX2060 OC EVO, 6GB GDDR6 192bit","Placa video Asus DUAL RTX2060 OC EVO 6GB GDDR6, DUAL-RTX2060-O6G-EVO, NVIDIA GeForce RTX 2060, Interface PCI Express 3.0, GDDR6 6GB, Memory Clock 14000 MHz, Memory Interface 192-bit, OC Mode - GPU Boost Clock : 1785 MHz , GPU Base Clock : 1395 MHz, Gaming Mode (Default) - GPU Boost Clock : 1755 MHz ",1843.81,RON,697270
52158659,,Apple - AirPods with Charging Case (Latest Model) - White,,119.18,USD,1223297
17390600,,Epson WP4000/4500 SERIES INK CART L BLACK,Epson WP4000/4500 SERIES INK CART L BLACK,29.08,GBP,2922868
61038822,,Traveler's Notebook Passport size - Starter kit BLUE,"Traveler's Notebook, passport size, BLUE. The Midori (now Traveler's Company), Traveler's Notebook,is one of the products that led to us developing NOMADO Store, we love it's practicality, focus on travel, great design and materials. In typically Japanese style, this is an extremely sophisticated an",37.11,EUR,4695729
78504460,,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,0.001,,1252906
2089105,New Era,New Era MLB Clean New York Yankees Trucker CapGrey,,29,EUR,78575500
18451047,,SANDISK 32GB CZ73 ULTRA FLAIR USB3.0 FLASH DRIVE-WRTY 5YRS W/DISTRIBUTOR,Warranty : 5 Years with Local Distributor - Convergent,8.50,SGD,292826
46101444,,Ram Mount 2.75 Suction Cup Base with 1 Ball,"Ram Mount 2.75 Suction Cup Base with 1 Ball2.75"" diameter suction cup base with 1"" ball. Perfect for lightweight mobile electronics such as mobile phones, sat navs and GPS systems. Compatible with any of the RAM 1"" mounts and double socket arms.Details:High Strength CompositeBlack1"" Rubber Ball ""B"" ",1.899E1,GBP,5568458
71942027,Epson,Epson C13T603700 Ink Cartridge - Light Black,Inkjet,104.03,GBP,786291
42544495,EPSON,Cartouche EPSON WF-8XXX SERIESINKCARTR.XLBLACK,Cartouche EPSON WF-8XXX SERIESINKCARTR.XLBLACK- PIGMENT INK DURABRITEPRO SIZEXL,84.99,EUR,3543965
43498383,Shimano,Shimano Deore BRM515 Cable Actuated Disc Brake Pads,The Shimano Deore BRM515 Cable Actuated Disc Brake Pads are replacement pads for use with Deore M515 and Nexave C601 mechanical disc brake systems. Pair of pads with replacement spring. Exactly the same specification as originally supplied ensuring consistent performance.For our full range of Essent,£11.99,GBP,3844417
8680758,,Samsung MZ-V7S250 M.2 250 GB PCI Express 3.0 V-NAND MLC NVMe,"250GB, M.2, PCIe Gen 3.0 x 4, NVMe 1.3",107.78,EUR,993500
31785582,,"TP-LINK EAP225-Outdoor Omada AC1200 Wireless Access Point u2013 Waterproof, Dustproof, Lightening Protection, Seamless Roaming, Gigabit, PoE Powered, Free PoE Injector, Free Managing Software","EAP225-Outdoor supports simultaneous dual band speed of up to 1200Mbps. Outfitted with the latest 802.11ac Wave 2 MU-MIMO technology, EAP225-Outdoor can communicate with multiple clients at the same time which making it ideal for high density environment. Water proof enclosure. Durable, weatherproof",69,USD,6665678
16691545,,UVC-G3-Micro Ubiquiti Latest G3 Video Camera In Micro Version,"For Unboxing, Click: UVC-G3-Micro For Specifications, Click: Datasheet Product Description:The UniFi Video Camera G3 Micro features a wide angle lens and 1080p video resolution. Multiple mounting options allow the camera to be installed almost anywhere indoors for permanent or temporary surveillance",300,SGD,591042
21117347,,VENGEANCE® RGB PRO 16GB (2 x 8GB) DDR4 White,Specification3000MHz3200MHz3600MHzFan IncludedNoMemory SeriesVENGEANCE RGB PROMemory TypeDDR4Memory Size16GB Kit (2 x 8GB)Tested Latency15-17-17-3516-18-18-3618-19-19-39Tested Voltage1.35VTested Speed3000MHz3200MHz3600MHzMemory ColorWHITELED LightingRGBSingle Zone / Multi-Zone LightingIndividually A,4.0E2,AED,1857840
95351023,,CPU Cooler Master Hyper H411R led bianco RR-H411-20PW-R1,Dissipatore CPU Cooler Master CPU Cooler Master Hyper H411R led bianco RR-H411-20PW-R1,29.9,EUR,541517
41174280,Brother,Brother MFC-L2710DW Mono Laser Multifunction,Buy Genuine Brother MFC-L2710DW Mono Laser Multifunction at Crazy Low Price,171.72,GBP,764656
18787691,,Corsair Carbide 175R Mid Tower Gaming Case - Black USB 3.0,Order from CCL - The CORSAIR Carbide Series 175R RGB TG Mid-Tower ATX case with 1x RGB cooling fan and clean line design,5.817E1,GBP,643961
36941646,,POKÉMON TCG Sword and Shield- Darkness Ablaze Booster Pack,"The velvet night glows, burns, and blazes astoundingly bright as the Legendary Pokémon Eternatus arrives as a Pokémon V alongside Centiskorch V, Crobat V, Salamence V, and many others. You’ll also find towering Pokémon VMAX in their Gigantamax forms: Charizard VMAX, Grimmsnarl VMAX, Butterfree VMAX,",6,AUD,69543397
41834837,,32 Oz Wide Mouth With Flex Cap W32BTS650,32 Oz Wide Mouth With Flex Cap W32BTS650Product DescriptionBrand : Hydro FlaskStyle# : W32BTS650Product Type : Water BottleColor : HibiscusVolume : 32 oz,44.95,USD,929657
8921864,,ASUS ROG STRIX B550-F GAMING,,959,PLN,516888
43618856,,Tissot Seastar 1000 T120.407.11.041.01,"Beautiful men's watch in stainless steel with sapphire crystal. The watch is with stainless steel bracelet, highlighted by the beautiful blue dial. The watch is also water resistant to 30 bar and equipped with a automatic movement.","737,00",EUR,3457955
96980573,,WD My Passport WDBPKJ0040BBK - hard drive - 4 TB - USB 3.2 Gen 1,"Every journey needs a passport.The My Passport drive is trusted, portable storage that gives you the confidence and freedom to drive forward inlife. With a new, stylish design that fits in the palm of your hand, there's space to store, organize, and share yourphotos, videos, music, and documents. Pe",119.69,USD,1939560
78116281,,"Maxxis Aggressor 29\"" 60TPI Folding Tyre - Dual Compound EXO/TR","Maxxis Aggressor 29\"" 60TPI Folding Tyre - Dual Compound EXO/TR The Aggressor is designed for high-speed modern mountain bike trails. Advanced knob shaping creates extra gripping edges, and reinforced side knobs offer enhanced stability when cornering at speed. An all-around trail tyre excelling on ",27.99,GBP,2224600
3954683,,27.5x2.40 3C/EXO/TR/MAXX TERRA,"The second generation of the legendary High Roller Open tread design Easily clears debris Single-ply, DoubleDown, and DH casings available 3C MaxxTerra, 3C MaxxGrip, and Super Tacky available on select models Wide trail (WT) casing specs are optimized for 30-35mm inner width rims An open and aggress",109.99,NZD,1631327
57306118,Canon,Toner Canon CRT-707C 2K cyan,Canon 707 Toner. Single Pack. Cyaan,64.77,EUR,1813263
30151389,Fujifilm,Fujifilm 56mm XF F1.2 APD Lens,FUJINON prime lens for Fujifilm X Mount with Apodisation filter to produce even smoother bokeh56mm focal length135 equivalent: 84mmF1.2 aperture,790.83,GBP,32010
50368196,zebra,Zebra C Series Black Ribbon 800015-301,,,,183681
70805675,Maxxis,Maxxis High Roller II 27.5x2.3 DC/EXO/TR Tire,"An open and aggressive tread design gives the High Roller II excellent soil penetration and mud-clearing ability. A square profile provides a solid, consistent feel across the knobs. Modified knobs on the shoulder and center improve braking performance and traction on hard surfaces. An excellent cho",$52.00,USD,627344
86065131,,Canon EF-S 55-250mm f/4-5.6 IS STM SLR Telephoto lens Black,Shop wide range of camera lenses online for camera accessories. Get products with high quality and material at buy4lesstoday. Order online today!,2.9938E2,GBP,1109911
36735751,,"Jabra BIZ 2300 USB Mono, Type: 82 E-STD","Jabra BIZ™ 2300 USB Mono, Type: 82 E-STD, Microphone boom: FreeSpin (headband), USB connector, with mute-button and volume control on the cord, Microsoft optimized",,,359727
54697856,FUJI,FUJI FUJI INSTAX SQUARE FILM 10 PACK,,16.99,USD,1457721
220243,,Road Disc Organic Brake Pads,SRAM road disc brake pads are designed for use with SRAM road hydraulic disc brakes (HRD).- For use with Level Ultimate & Level TLM Brakes- Pad Material: Organic- Type: Road/CX- Includes...,25.00,USD,350645
11034434,,APC APCrbc124 Replacement Battery Cartridge #124,APC APCRBC124 Replacement Battery Cartridge #124• For UPS at home &; small businesses supporting computers &; network systems • Guaranteed compatibility with APC UPS devices • Reliable for power spikes &; outages • Easy hot-swap installation without downtime • Spill-free &; uses recycled lead • UL(R,97.94,USD,123631
