stock_code,description,revenue,quantity,transactions,countries
20914,SET/5 RED SPOTTY LID GLASS BOWLS,53415.31,18979,2124,19
22178,VICTORIAN GLASS HANGING T-LIGHT,53330.49,40748,1889,17
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,53214.31,10675,2130,28
21212,PACK OF 72 RETRO SPOT CAKE CASES,52997.2,96560,3290,26
22111,SCOTTIE DOG HOT WATER BOTTLE,52192.31,10218,1831,16
21623,VINTAGE UNION JACK MEMOBOARD,52122.73,7200,553,9
21733,RED HANGING HEART T-LIGHT HOLDER,51556.97,17999,1866,21
84946,ANTIQUE SILVER TEA GLASS ETCHED,51329.72,38064,1857,10
22469,HEART OF WICKER SMALL,51127.76,29037,2293,15
21181,PLEASE ONE PERSON  METAL SIGN,51005.82,25117,1895,11
21232,STRAWBERRY CERAMIC TRINKET BOX,50760.48,38981,2555,24
22090,PAPER BUNTING RETRO SPOTS,50753.1,16808,1739,20
21929,JUMBO BAG PINK VINTAGE PAISLEY,50334.1,25954,1658,15
48194,DOORMAT HEARTS,49633.29,7847,1382,14
21731,RED TOADSTOOL LED NIGHT LIGHT,49539.69,29715,1603,22
22457,NATURAL SLATE HEART CHALKBOARD ,48671.05,15771,2119,15
15056BL,EDWARDIAN PARASOL BLACK,48101.89,9646,910,14
21754,HOME BUILDING BLOCK WORD,48079.69,7847,2172,16
84029E,RED WOOLLY HOTTIE WHITE HEART.,47737.38,11830,1265,10
48187,DOOR MAT NEW ENGLAND,47265.11,7425,1313,13
21523,FANCY FONT HOME SWEET HOME DOORMAT,47225.46,7050,1151,12
21928,JUMBO BAG SCANDINAVIAN PAISLEY,47095.72,24780,1585,12
22355,"CHARLOTTE BAG , SUKI DESIGN",46633.44,32692,1793,16
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,46546.53,15727,860,6
20727,LUNCH BAG  BLACK SKULL.,46422.49,27126,2484,19
48185,DOOR MAT FAIRY CAKE,46104.34,6862,1010,15
22138,BAKING SET 9 PIECE RETROSPOT ,45966.16,9383,1939,31
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",45046.68,15690,1447,25
21915,RED  HARMONICA IN BOX ,44808.8,38191,1073,20
82494L,WOODEN FRAME ANTIQUE WHITE ,44796.9,15645,2063,11
21175,GIN + TONIC DIET METAL SIGN,44391.43,20905,1716,15
22383,LUNCHBAG SUKI  DESIGN ,43932.56,25461,2507,17
84078A,SET/4 WHITE RETRO STORAGE CUBES ,43921.51,1129,329,12
23298,SPOTTY BUNTING,43182.83,8473,1165,16
20728,LUNCH BAG CARS BLUE,42784.74,24892,2141,23
82482,WOODEN PICTURE FRAME WHITE FINISH,42546.58,17198,2085,14
23203,JUMBO BAG DOILEY PATTERNS,42067.78,20503,1249,15
20713,JUMBO BAG OWLS,41390.09,21199,1360,16
22083,PAPER CHAIN KIT RETRO SPOT,41379.06,14008,1452,18
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",40508.26,14636,1216,19
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,40308.03,10761,1134,27
22960,JAM MAKING SET WITH JARS,39694.56,9302,1222,26
85066,CREAM SWEETHEART MINI CHEST,39428.65,3148,963,13
82486,WOOD S/3 CABINET ANT WHITE FINISH,39382.5,4899,1349,8
22699,ROSES REGENCY TEACUP AND SAUCER ,39134.89,13339,1488,21
20726,LUNCH BAG WOODLAND,38949.73,22341,2009,20
21485,RED SPOT HEART HOT WATER BOTTLE,38840.8,7927,1488,18
22629,SPACEBOY LUNCH BOX ,38750.2,21223,1435,21
21166,COOK WITH WINE METAL SIGN ,38560.16,20128,1480,12
23284,DOORMAT KEEP CALM AND COME IN,38166.64,5491,735,15
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38158.39,7493,1399,22
20712,JUMBO BAG WOODLAND ANIMALS,38029.89,17957,1449,20
22727,ALARM CLOCK BAKELIKE RED ,37970.11,9595,1453,22
21524,SPOTTY  HOME SWEET HOME DOORMAT,36667.33,5342,1184,21
21755,LOVE BUILDING BLOCK WORD,35641.99,5774,1783,14
20724,RED SPOTTY CHARLOTTE BAG,35595.63,32487,2094,19
22379,RECYCLING BAG RETROSPOT ,35408.96,16075,1621,16
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,34987.06,9388,1059,24
21479,WHITE SKULL HOT WATER BOTTLE ,34617.93,6872,1040,10
22384,LUNCHBAG PINK RETROSPOT,34506.66,21037,2191,23
22666,RECIPE BOX PANTRY YELLOW DESIGN,34489.05,10951,1739,23
22382,LUNCHBAG SPACEBOY DESIGN ,34436.39,20458,2230,24
AMAZONFEE,AMAZON FEE,34009.13,4,4,1
22630,DOLLY GIRL LUNCH BOX,33980.0,18363,1398,24
22726,ALARM CLOCK BAKELIKE GREEN,33737.59,7954,1357,17
22865,HAND WARMER OWL DESIGN,33575.51,15557,1369,12
22188,BLACK HEART CARD HOLDER,33201.0,12484,586,7
15036,ASSORTED COLOURS SILK FAN,33041.55,44365,1003,14
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,32992.01,8865,983,27
22385,JUMBO BAG SPACEBOY DESIGN,32749.37,17227,1281,17
22077,6 RIBBONS RUSTIC CHARM,32213.59,17569,1839,22
22622,BOX OF VINTAGE ALPHABET BLOCKS,32163.94,3242,604,17
85152,HAND OVER THE CHOCOLATE   SIGN ,32064.76,16645,1512,11
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,32054.49,7343,1113,10
48184,DOOR MAT ENGLISH ROSE ,31603.65,4777,868,15
22697,GREEN REGENCY TEACUP AND SAUCER,31534.92,10112,1426,21
22659,LUNCH BOX I LOVE LONDON,31203.02,16869,1162,18
23245,SET OF 3 REGENCY CAKE TINS,31177.95,6357,882,24
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,31123.93,6202,921,19
22501,PICNIC BASKET WICKER LARGE,30828.29,2643,785,10
22752,SET 7 BABUSHKA NESTING BOXES,30804.75,3781,757,17
20679,EDWARDIAN PARASOL RED,30667.32,6259,738,16
22158,3 HEARTS HANGING DECORATION RUSTIC,30498.18,9443,785,7
21217,RED SPOTTY ROUND CAKE TINS,30483.03,2961,964,18
23199,JUMBO BAG APPLES,30475.65,14920,988,15
22866,HAND WARMER SCOTTY DOG DESIGN,30426.54,13772,1250,10
82483,WOOD 2 DRAWER CABINET WHITE FINISH,30213.89,5103,1187,7
47590B,PINK HAPPY BIRTHDAY BUNTING,29587.43,5778,894,23
22867,HAND WARMER BIRD DESIGN,29541.02,13453,1211,10
22467,GUMBALL COAT RACK,29139.1,12298,1165,19
22492,MINI PAINT SET VINTAGE ,29046.19,45665,749,23
20971,PINK BLUE FELT CRAFT TRINKET BOX,29027.46,22629,1206,16
23355,HOT WATER BOTTLE KEEP CALM,28842.55,5841,805,13
48188,DOOR MAT WELCOME PUPPIES,28798.14,4892,707,14
84978,HANGING HEART JAR T-LIGHT HOLDER,28734.82,21903,1466,9
22835,HOT WATER BOTTLE I AM SO POORLY,28659.98,5566,1083,10
82583,HOT BATHS METAL SIGN,28496.81,13090,1242,8
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28490.98,56794,2081,24
20719,WOODLAND CHARLOTTE BAG,28287.32,24945,1621,18
22961,JAM MAKING SET PRINTED,28242.89,18086,1286,26
22624,IVORY KITCHEN SCALES,28227.77,3258,1273,19
21930,JUMBO STORAGE BAG SKULLS,27923.57,13657,1369,11
72741,GRAND CHOCOLATECANDLE,27915.13,20178,954,19
23201,JUMBO BAG ALPHABET,27890.17,13379,916,17
20750, RED/WHITE DOT MINI CASES,27562.87,3777,941,25
84991,60 TEATIME FAIRY CAKE CASES,27404.22,54716,2257,22
71459,HANGING JAM JAR T-LIGHT HOLDER,27192.51,33577,1035,11
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,27061.58,9828,788,17
21481,FAWN BLUE HOT WATER BOTTLE,26988.98,8557,1136,18
22149,FELTCRAFT 6 FLOWER FRIENDS,26855.26,12922,1470,18
22507,MEMO BOARD RETROSPOT  DESIGN,26626.56,5694,917,15
48111,DOOR MAT 3 SMILEY CATS,26544.41,4309,749,11
22551,PLASTERS IN TIN SPACEBOY,26485.1,15779,1381,27
82600,NO SINGING METAL SIGN,26212.86,12908,1241,15
20711,JUMBO BAG TOYS ,26186.9,12838,1066,14
21080,SET/20 RED SPOTTY PAPER NAPKINS ,26031.97,31823,2212,22
47566B,TEA TIME PARTY BUNTING,25987.9,5838,784,13
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25887.35,13105,643,17
21527,RETRO SPOT TRADITIONAL TEAPOT ,25612.27,3429,873,15
22087,PAPER BUNTING WHITE LACE,25563.17,8532,889,13
22084,PAPER CHAIN KIT EMPIRE,25480.38,8879,839,7
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25475.05,40839,1302,13
37503,TEA TIME CAKE STAND IN GIFT BOX,25471.33,2469,526,14
21314,SMALL GLASS HEART TRINKET POT,25276.95,11658,1097,10
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,25259.9,110138,1043,15
20972,PINK CREAM FELT CRAFT TRINKET BOX ,25151.84,20761,1463,18
23173,REGENCY TEAPOT ROSES ,24918.93,2770,425,17
22728,ALARM CLOCK BAKELIKE PINK,24907.27,6374,1022,17
84836,ZINC METAL HEART DECORATION,24805.67,20251,1490,13
21231,SWEETHEART CERAMIC TRINKET BOX,24618.13,19767,1566,19
47590A,BLUE HAPPY BIRTHDAY BUNTING,24559.23,4829,700,23
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24507.36,5984,859,20
22698,PINK REGENCY TEACUP AND SAUCER,24489.67,8232,1066,18
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,24249.96,3202,681,10
21258,VICTORIAN SEWING BOX LARGE,24153.59,1692,566,9
21790,VINTAGE SNAP CARDS,24095.6,27942,1975,16
22625,RED KITCHEN SCALES,24045.03,2743,998,20
21955,UNION JACK GUNS & ROSES  DOORMAT,24024.17,3943,758,9
21791,VINTAGE HEADS AND TAILS CARD GAME ,23993.23,18585,1382,23
84406B,CREAM CUPID HEARTS COAT HANGER,23820.8,7384,887,11
23344,JUMBO BAG 50'S CHRISTMAS ,23815.75,10306,732,12
22605,WOODEN CROQUET GARDEN SET,23743.77,1846,653,14
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.17,4805,474,20
48173C,DOOR MAT BLACK FLOCK ,23335.25,4104,515,9
22554,PLASTERS IN TIN WOODLAND ANIMALS,23329.36,13854,1356,25
22113,GREY HEART HOT WATER BOTTLE,23172.82,6059,1094,12
22607,WOODEN ROUNDERS GARDEN SET ,23139.3,2556,764,8
22585,PACK OF 6 BIRDY GIFT TAGS,22903.92,18333,1201,18
21936,RED/WHITE SPOT PICNIC BAG,22847.59,7833,1071,21
20749,ASSORTED COLOUR MINI CASES,22806.51,3156,800,21
37449,CERAMIC CAKE STAND + HANGING CAKES,22702.46,2418,494,15
22556,PLASTERS IN TIN CIRCUS PARADE ,22694.13,13797,1269,24
22941,CHRISTMAS LIGHTS 10 REINDEER,22645.32,2710,523,15
22969,HOMEMADE JAM SCENTED CANDLES,22459.25,15087,754,20
22632,HAND WARMER RED RETROSPOT,22384.87,11190,911,10
84970S,HANGING HEART ZINC T-LIGHT HOLDER,22132.18,26844,1463,17
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,22054.25,4665,708,16
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,21957.26,15249,1191,25
22499,WOODEN UNION JACK BUNTING,21910.64,3597,786,8
22456,NATURAL SLATE CHALKBOARD LARGE ,21883.98,4462,854,7
23202,JUMBO BAG VINTAGE LEAF,21852.81,10962,889,11
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21826.9,2755,551,7
21213,PACK OF 72 SKULL CAKE CASES,21734.85,40733,1548,21
22570,FELTCRAFT CUSHION RABBIT,21579.79,5805,861,13
23209,LUNCH BAG DOILEY PATTERN ,21450.17,13189,1123,16
22424,ENAMEL BREAD BIN CREAM,21305.96,1560,756,10
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",21252.44,20237,1625,18
22294,HEART FILIGREE DOVE  SMALL,21217.02,17127,935,11
22617,BAKING SET SPACEBOY DESIGN,21162.89,4389,967,24
21218,RED SPOTTY BISCUIT TIN,21102.06,5305,927,19
22568,FELTCRAFT CUSHION OWL,21056.5,5692,929,10
22569,FELTCRAFT CUSHION BUTTERFLY,20924.96,5731,847,10
23206,LUNCH BAG APPLE DESIGN,20911.98,12183,1071,18
48116,DOOR MAT MULTICOLOUR STRIPE,20803.16,3461,503,9
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,20683.92,8341,1280,18
20723,STRAWBERRY CHARLOTTE BAG,20677.62,18485,1420,15
85150,LADIES & GENTLEMEN METAL SIGN,20668.23,8519,1151,13
22900, SET 2 TEA TOWELS I LOVE LONDON ,20544.21,6377,808,11
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",20528.58,3949,833,19
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20499.08,17899,352,12
22273,FELTCRAFT DOLL MOLLY,20345.77,7413,851,16
21622,VINTAGE UNION JACK CUSHION COVER,20164.64,3745,648,13
22558,CLOTHES PEGS RETROSPOT PACK 24 ,20163.07,14281,1256,17
22381,TOY TIDY PINK RETROSPOT  ,19974.77,9449,1128,19
22413,METAL SIGN TAKE IT OR LEAVE IT ,19970.24,7048,915,20
22169,FAMILY ALBUM WHITE PICTURE FRAME,19956.3,2326,717,11
21174,POTTERING IN THE SHED METAL SIGN,19864.32,9813,1179,5
22952,60 CAKE CASES VINTAGE CHRISTMAS,19812.43,33786,1257,19
48129,DOOR MAT TOPIARY,19790.14,3150,558,10
22561,WOODEN SCHOOL COLOURING SET,19752.09,11778,944,18
71053,WHITE METAL LANTERN,19718.61,4993,789,7
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,19704.57,5265,613,20
22633,HAND WARMER UNION JACK,19617.73,9544,1026,7
84949,SILVER HANGING T-LIGHT HOLDER,19568.46,12286,731,7
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19541.46,1785,435,13
21908,CHOCOLATE THIS WAY METAL SIGN,19534.11,9865,1017,16
22427,ENAMEL FLOWER JUG CREAM,19517.11,3247,825,11
22041,"RECORD FRAME 7"" SINGLE SIZE ",19371.46,7861,577,5
22061,LARGE CAKE STAND  HANGING STRAWBERY,19300.47,2189,530,13
22555,PLASTERS IN TIN STRONGMAN,19277.97,11905,1020,24
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,19223.04,16199,735,5
21484,CHICK GREY HOT WATER BOTTLE,19113.15,4815,932,13
21035,SET/2 RED SPOTTY TEA TOWELS ,18988.37,6091,969,17
21121,SET/10 RED SPOTTY PARTY CANDLES,18979.33,15678,912,20
22847,BREAD BIN DINER STYLE IVORY,18890.09,1191,493,19
22837,HOT WATER BOTTLE BABUSHKA ,18774.72,4015,538,9
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,18617.8,22662,690,12
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18551.7,4751,840,19
22147,FELTCRAFT BUTTERFLY HEARTS,18425.55,13175,1243,15
22505,MEMO BOARD COTTAGE DESIGN,18357.68,3826,776,23
22560,TRADITIONAL MODELLING CLAY,18313.05,15226,783,12
21914,BLUE HARMONICA IN BOX ,18198.1,13311,1009,17
22654,DELUXE SEWING KIT ,18177.57,2689,633,14
22352,LUNCHBOX WITH CUTLERY RETROSPOT ,18115.87,7191,1160,16
22776,SWEETHEART CAKESTAND 3 TIER,18084.63,1763,712,13
22297,HEART IVORY TRELLIS SMALL,18064.1,13981,1029,9
79323W, WHITE CHERRY LIGHTS,18048.72,3004,350,5
22557,PLASTERS IN TIN VINTAGE PAISLEY ,17834.26,10620,1212,29
20718,RED SPOTTY SHOPPER BAG,17740.0,13489,1233,18
21136,PAINTED METAL PEARS ASSORTED,17738.89,10652,769,12
47591D,PINK FAIRY CAKE CHILD'S APRON,17698.87,9520,1178,23
21889,WOODEN BOX OF DOMINOES,17636.32,13231,1192,16
84992,72 SWEETHEART FAIRY CAKE CASES,17585.16,35438,1565,20
21156,RED SPOTTY CHILDS APRON,17502.96,9399,967,23
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,83,4
22366,DOORMAT AIRMAIL ,17445.64,2564,579,20
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17431.99,17637,1115,16
22652,TRAVEL SEWING KIT,17265.28,10163,883,26
35004C,SET OF 3 COLOURED  FLYING DUCKS,17049.03,3284,369,5
23240,SET OF 4 KNICK KNACK TINS DOILEY ,17037.52,4186,550,24
21533,RETRO SPOT LARGE MILK JUG,16992.57,3421,1009,17
21535,RETRO SPOT SMALL MILK JUG,16926.25,6811,1159,14
21164,HOME SWEET HOME METAL SIGN ,16865.4,6058,742,17
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16794.94,1739,512,14
22487,WHITE WOOD GARDEN PLANT LADDER,16569.3,1647,911,17
22191,EAU DE NIL DINER WALL CLOCK,16522.05,2003,643,13
22993,SET OF 4 PANTRY JELLY MOULDS,16507.23,12672,1102,19
84375,SET OF 20 KIDS COOKIE CUTTERS,16504.32,7909,853,17
21155,RED SPOTTY PEG BAG,16493.11,6734,995,13
22296,HEART IVORY TRELLIS LARGE,16456.86,9974,890,10
22662,LUNCH BAG DOLLY GIRL DESIGN,16421.11,10069,1035,17
23301,GARDENERS KNEELING PAD KEEP CALM ,16357.05,8825,926,9
22193,RED DINER WALL CLOCK,16355.98,1938,637,16
22634,CHILDS BREAKFAST SET SPACEBOY ,16313.05,1726,525,20
22619,SET OF 6 SOLDIER SKITTLES,16261.07,4167,750,25
22759,SET OF 3 NOTEBOOKS IN PARCEL,16205.74,9541,853,20
22635,CHILDS BREAKFAST SET DOLLY GIRL ,16133.79,1693,509,21
21877,HOME SWEET HOME MUG,16126.02,14187,783,13
22367,CHILDS APRON SPACEBOY DESIGN,16094.06,8170,1197,23
22940,FELTCRAFT CHRISTMAS FAIRY,16090.04,3672,648,15
22692,DOORMAT WELCOME TO OUR HOME,16041.34,2141,611,16
22690,DOORMAT HOME SWEET HOME BLUE ,15945.72,2543,447,16
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15908.66,2422,587,9
22333,RETRO SPORT PARTY BAG + STICKER SET,15877.37,10172,721,22
23313,VINTAGE CHRISTMAS BUNTING,15833.31,2997,413,9
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15808.58,3876,743,15
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15783.7,5142,1037,12
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15779.53,17706,1189,18
21891,TRADITIONAL WOODEN SKIPPING ROPE,15756.65,12282,903,18
21094,SET/6 RED SPOTTY PAPER PLATES,15723.97,20161,1007,19
84378,SET OF 3 HEART COOKIE CUTTERS,15596.13,11784,1299,17
22730,ALARM CLOCK BAKELIKE IVORY,15567.79,3877,791,12
21844,RETRO SPOT MUG,15556.67,5443,509,13
22365,DOORMAT RESPECTABLE HOUSE,15518.93,2357,457,14
22946,WOODEN ADVENT CALENDAR CREAM,15485.22,992,287,12
85232B,SET/3 RUSSIAN DOLL STACKING TINS,15466.18,3088,556,15
82582,AREA PATROLLED METAL SIGN,15461.77,7637,830,8
21122,SET/10 PINK SPOTTY PARTY CANDLES,15455.06,12741,849,21
84050,PINK HEART SHAPE EGG FRYING PAN,15443.92,10529,751,19
21975,PACK OF 60 DINOSAUR CAKE CASES,15381.95,31575,1381,24
21165,BEWARE OF THE CAT METAL SIGN ,15359.8,9450,1011,16
35970,ZINC FOLKART SLEIGH BELLS,15257.26,8447,722,11
22606,WOODEN SKITTLES GARDEN SET,15009.54,1077,385,9
21912,VINTAGE SNAKES & LADDERS,14968.49,3800,857,19
22179,SET 10 LIGHTS NIGHT OWL,14960.5,2094,588,11
17003,BROCADE RING PURSE ,14959.19,71430,476,7
22150, 3 STRIPEY MICE FELTCRAFT,14841.4,7969,1003,12
21770,OPEN CLOSED METAL SIGN,14832.05,2996,656,21
22485,SET OF 2 WOODEN MARKET CRATES,14779.84,1109,423,16
21380,WOODEN HAPPY BIRTHDAY GARLAND,14672.98,5057,671,18
21259,VICTORIAN SEWING BOX SMALL ,14564.08,2413,688,10
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14529.81,11210,840,13
21257,VICTORIAN SEWING BOX MEDIUM,14505.73,1596,556,9
22804,CANDLEHOLDER PINK HANGING HEART,14461.28,5393,715,10
22295,HEART FILIGREE DOVE LARGE,14426.65,8740,765,9
21169,YOU'RE CONFUSING ME METAL SIGN ,14426.42,8941,819,9
22627,MINT KITCHEN SCALES,14424.68,1642,677,18
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,14338.18,10540,1152,16
20748,KENSINGTON COFFEE SET,14317.98,1604,187,6
22444,GROW YOUR OWN PLANT IN A CAN ,14233.65,10419,472,17
22271,FELTCRAFT DOLL ROSIE,14218.25,4966,830,16
22109,FULL ENGLISH BREAKFAST PLATE,14216.43,3436,675,10
21098,CHRISTMAS TOILET ROLL,14212.96,9038,680,11
23200,JUMBO BAG PEARS,14197.28,7071,602,13
21888,BINGO SET,14171.59,3586,858,19
22236,CAKE STAND 3 TIER MAGIC GARDEN,14122.42,1141,424,17
21669,BLUE STRIPE CERAMIC DRAWER KNOB,14092.17,10763,848,14
22667,RECIPE BOX RETROSPOT ,14081.95,5013,899,18
35400,WOODEN BOX ADVENT CALENDAR ,14070.7,1443,428,8
21668,RED STRIPE CERAMIC DRAWER KNOB,14053.29,10464,853,12
23343,JUMBO BAG VINTAGE CHRISTMAS ,13978.95,6081,489,11
21871,SAVE THE PLANET MUG,13955.91,11698,824,13
22621,TRADITIONAL KNITTING NANCY,13863.41,8775,913,16
21539,RETRO SPOTS BUTTER DISH,13853.59,2784,745,11
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13821.23,1664,512,18
79323P,PINK CHERRY LIGHTS,13787.93,2281,266,5
22846,BREAD BIN DINER STYLE RED ,13767.32,856,358,20
22207,FRYING PAN UNION FLAG,13724.41,3187,497,7
23077,DOUGHNUT LIP GLOSS ,13720.77,10415,345,15
47556B,TEA TIME TEA TOWELS ,13693.97,5202,453,8
21390,FILIGRIS HEART WITH BUTTERFLY,13662.97,11025,613,9
22198,"POPCORN HOLDER , LARGE",13603.93,7807,692,13
22838,3 TIER CAKE TIN RED AND CREAM,13579.16,940,285,13
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13568.06,10276,793,14
22553,PLASTERS IN TIN SKULLS,13529.26,8084,1185,23
23356,LOVE HOT WATER BOTTLE,13494.97,2386,500,10
22584,PACK OF 6 PANNETONE GIFT BOXES,13478.79,5291,614,17
22580,ADVENT CALENDAR GINGHAM SACK,13420.52,2362,513,16
23207,LUNCH BAG ALPHABET DESIGN,13360.2,7851,767,13
21935,SUKI  SHOULDER BAG,13353.81,7209,948,16
21704,BAG 250g SWIRLY MARBLES,13347.6,17304,591,13
20676,RED SPOTTY BOWL,13346.66,10674,992,23
23108,SET OF 10 LED DOLLY LIGHTS,13303.02,2221,375,19
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13284.49,2845,413,9
22464,HANGING METAL HEART LANTERN,13277.22,8012,826,11
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,13232.41,9309,934,16
15044A,PINK PAPER PARASOL ,13228.55,4970,251,8
22766,PHOTO FRAME CORNICE,13209.49,4475,676,9
75049L,LARGE CIRCULAR MIRROR MOBILE,13186.31,13993,357,1
21906,PHARMACIE FIRST AID TIN,13184.05,1819,443,19
22655,VINTAGE RED KITCHEN CABINET,13140.0,77,54,3
22947,WOODEN ADVENT CALENDAR RED,13111.85,1026,222,12
22088,PAPER BUNTING COLOURED LACE,13109.34,4409,634,15
84988,SET OF 72 PINK HEART PAPER DOILIES,13075.15,8404,1041,20
22144,CHRISTMAS CRAFT LITTLE FRIENDS,13024.09,5382,778,13
22834,HAND WARMER BABUSHKA DESIGN,12923.25,7676,684,8
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,12813.52,2607,391,9
22616,PACK OF 12 LONDON TISSUES ,12764.06,40163,884,10
22303,COFFEE MUG APPLES DESIGN,12734.78,5452,544,9
22623,BOX OF VINTAGE JIGSAW BLOCKS ,12687.38,2357,563,14
22082,RIBBON REEL STRIPES DESIGN ,12682.97,7535,1040,12
22301,COFFEE MUG CAT + BIRD DESIGN,12522.06,5152,676,12
15056P,EDWARDIAN PARASOL PINK,12497.32,2529,351,9
21671,RED SPOT CERAMIC DRAWER KNOB,12474.38,9590,747,15
62018,SOMBRERO ,12456.7,9570,130,5
22631,CIRCUS PARADE LUNCH BOX ,12381.66,6334,692,19
23174,REGENCY SUGAR BOWL GREEN,12350.73,3057,325,18
22791,T-LIGHT GLASS FLUTED ANTIQUE,12336.71,9946,468,8
20969,RED FLORAL FELTCRAFT SHOULDER BAG,12315.1,3294,641,11
22192,BLUE DINER WALL CLOCK,12291.76,1446,558,15
21670,BLUE SPOT CERAMIC DRAWER KNOB,12287.34,8997,795,11
22729,ALARM CLOCK BAKELIKE ORANGE,12272.63,3098,654,12
20975,12 PENCILS SMALL TUBE RED SPOTTY,12266.78,18685,977,17
21124,SET/10 BLUE SPOTTY PARTY CANDLES,12254.05,10093,657,21
85042,ANTIQUE LILY FAIRY LIGHTS,12239.51,2686,297,5
